Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,0664±0,0061;0,0934±0,0121;0,5634±0,0202;0,4629±0,0159;0,4644±0,0177;0,3608±0,0114;0,9670±0,0064;0,4818±0,0533;0,4404±0,0172;0,4589±0,0291;0,9671±0,0064;0,1883±0,0234;0,1720±0,0167;0,1736±0,0146;0,9585±0,0063;0,6379±0,0172;13,5520±1,0550;0,3144±0,0278;0,8431±0,0169;17,0540±1,8923;0,0972±0,0114;0,2268±0,0176;NaN±NaN;0,2407±0,0171;NaN±NaN;0,8891±0,0111;0,6891±0,0182;39,3173±0,3502;
0,0641±0,0071;0,0946±0,0143;0,5994±0,0229;0,4832±0,0169;0,4909±0,0186;0,3835±0,0177;0,9680±0,0077;0,5043±0,0617;0,4621±0,0163;0,4804±0,0315;0,9682±0,0077;0,1831±0,0339;0,1685±0,0220;0,1679±0,0234;0,9595±0,0082;0,6483±0,0206;13,7119±1,0748;0,2867±0,0146;0,8396±0,0157;17,1252±2,0321;0,0969±0,0118;0,2230±0,0135;NaN±NaN;0,2370±0,0124;NaN±NaN;0,8895±0,0119;0,6911±0,0198;39,8667±0,3196;
0,0600±0,0073;0,0975±0,0181;0,6100±0,0262;0,4776±0,0225;0,4949±0,0207;0,3867±0,0201;0,9726±0,0084;0,5440±0,0701;0,4586±0,0204;0,4949±0,0296;0,9727±0,0083;0,2095±0,0468;0,1701±0,0240;0,1787±0,0286;0,9635±0,0088;0,6589±0,0198;13,4074±1,1981;0,2756±0,0252;0,8420±0,0245;16,3048±2,0762;0,0930±0,0118;0,2252±0,0180;NaN±NaN;0,2390±0,0178;NaN±NaN;0,8953±0,0119;0,6922±0,0255;40,2864±0,3335;
