Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,0099±0,0001;0,0018±0,0016;0,1726±0,0074;0,0713±0,0051;0,0955±0,0056;0,0644±0,0044;0,9988±0,0001;0,3701±0,0125;0,0716±0,0044;0,1198±0,0058;0,9988±0,0001;0,2294±0,0094;0,1973±0,0102;0,2032±0,0101;0,9987±0,0001;0,2426±0,0034;129,0000±3,0183;0,7130±0,0098;0,9932±0,0026;193,4030±4,6787;0,1492±0,0028;0,0359±0,0023;NaN±NaN;0,0418±0,0028;NaN±NaN;0,8518±0,0030;0,5162±0,0016;20,0454±0,4033
0,0099±0,0001;0,0026±0,0017;0,1639±0,0098;0,0689±0,0042;0,0918±0,0051;0,0622±0,0037;0,9989±0,0001;0,3689±0,0213;0,0689±0,0034;0,1160±0,0048;0,9989±0,0001;0,2289±0,0106;0,1973±0,0102;0,2031±0,0101;0,9987±0,0001;0,2450±0,0054;125,4560±2,8719;0,7118±0,0143;0,9924±0,0008;188,6750±3,9254;0,1456±0,0025;0,0357±0,0024;NaN±NaN;0,0415±0,0031;NaN±NaN;0,8554±0,0028;0,5159±0,0010;19,4200±0,4478
0,0098±0,0001;0,0034±0,0024;0,1628±0,0104;0,0686±0,0051;0,0911±0,0058;0,0619±0,0044;0,9989±0,0001;0,3767±0,0217;0,0684±0,0038;0,1156±0,0053;0,9989±0,0001;0,2286±0,0091;0,1972±0,0098;0,2029±0,0096;0,9988±0,0001;0,2466±0,0047;123,4846±2,7954;0,7124±0,0094;0,9912±0,0012;186,1844±3,7855;0,1438±0,0025;0,0356±0,0022;NaN±NaN;0,0414±0,0030;NaN±NaN;0,8573±0,0028;0,5157±0,0011;18,9569±0,3714
