Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,2730±0,0279;0,0880±0,0487;0,6985±0,0486;0,7592±0,0349;0,7071±0,0226;0,5795±0,0316;0,6786±0,0631;0,7031±0,0483;0,7599±0,0393;0,7290±0,0295;0,6940±0,0730;0,5825±0,0480;0,6234±0,0509;0,5856±0,0385;0,5461±0,0669;0,8408±0,0266;3,7115±0,1368;0,1698±0,0495;0,7163±0,0375;2,1012±0,3246;0,1885±0,0227;0,6576±0,0490;0,6153±0,0633;0,6841±0,0450;0,6451±0,0618;0,7828±0,0192;0,6365±0,0209;7,9764±0,6903;
0,2722±0,0266;0,1138±0,0489;0,6920±0,0366;0,7997±0,0294;0,7220±0,0256;0,5997±0,0357;0,6441±0,0362;0,6898±0,0420;0,7981±0,0236;0,7393±0,0269;0,6624±0,0442;0,5724±0,0468;0,6669±0,0248;0,6088±0,0371;0,5241±0,0325;0,8179±0,0336;3,7576±0,2018;0,2165±0,0618;0,7474±0,0769;2,2663±0,4620;0,2025±0,0350;0,6324±0,0508;0,5863±0,0598;0,6660±0,0502;0,6203±0,0638;0,7739±0,0226;0,6314±0,0188;8,4104±1,1884;
0,2583±0,0343;0,1186±0,0737;0,7078±0,0435;0,7888±0,0436;0,7290±0,0429;0,6084±0,0556;0,6731±0,0444;0,7068±0,0495;0,7926±0,0436;0,7469±0,0445;0,6925±0,0402;0,6188±0,0907;0,6775±0,0640;0,6308±0,0731;0,5536±0,0253;0,8264±0,0285;3,6648±0,1942;0,2061±0,0508;0,6954±0,1035;2,1630±0,4209;0,1929±0,0324;0,6441±0,0680;0,6047±0,0923;0,6777±0,0693;0,6392±0,0943;0,7828±0,0221;0,6414±0,0282;8,4821±1,3862;
