Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,1745±0,0055;0,0000±0,0000;0,3965±0,0079;0,2733±0,0226;0,3150±0,0145;0,1904±0,0103;0,9234±0,0082;0,3828±0,0077;0,2698±0,0222;0,3158±0,0138;0,9233±0,0081;0,1539±0,0070;0,1378±0,0102;0,1327±0,0079;0,8975±0,0102;0,3190±0,0129;169,2149±0,5541;0,8208±0,0489;1,0000±0,0000;1249,1000±67,3017;0,3264±0,0139;0,1993±0,0051;NaN±NaN;0,2226±0,0050;NaN±NaN;0,6735±0,0138;0,5206±0,0025;251,4044±20,1095;
0,1473±0,0032;0,0000±0,0000;0,5274±0,0181;0,2324±0,0185;0,3160±0,0166;0,1915±0,0119;0,9629±0,0038;0,5186±0,0193;0,2272±0,0182;0,3154±0,0174;0,9628±0,0038;0,1401±0,0189;0,1199±0,0163;0,1207±0,0160;0,9375±0,0062;0,4454±0,0128;143,5773±1,7737;0,4780±0,0408;1,0000±0,0000;776,9842±17,6631;0,2028±0,0037;0,2018±0,0053;NaN±NaN;0,2256±0,0055;NaN±NaN;0,7941±0,0036;0,5111±0,0031;70,8859±2,1968;
0,1435±0,0032;0,0000±0,0000;0,5564±0,0102;0,2283±0,0109;0,3183±0,0095;0,1931±0,0065;0,9681±0,0024;0,5509±0,0090;0,2228±0,0103;0,3171±0,0094;0,9680±0,0024;0,1206±0,0140;0,1151±0,0127;0,1130±0,0128;0,9428±0,0050;0,4769±0,0134;131,2844±1,1481;0,2290±0,0763;1,0000±0,0000;713,8906±25,2175;0,1862±0,0052;0,1998±0,0041;NaN±NaN;0,2233±0,0046;NaN±NaN;0,8105±0,0056;0,5070±0,0009;64,0158±0,6459;
