Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,0021±0,0007;0,9532±0,0110;0,9836±0,0126;0,9772±0,0049;0,9783±0,0074;0,9726±0,0069;0,9993±0,0006;0,9855±0,0125;0,9688±0,0076;0,9770±0,0071;0,9993±0,0006;0,9137±0,0382;0,9093±0,0439;0,9075±0,0393;0,9993±0,0006;0,9860±0,0070;0,8599±0,4046;0,0015±0,0030;0,0317±0,0174;0,6411±0,3820;0,0125±0,0068;0,8986±0,0523;NaN±NaN;0,8984±0,0525;NaN±NaN;0,9780±0,0122;0,8564±0,0097;20,5162±0,4469;
0,0020±0,0008;0,9562±0,0109;0,9889±0,0071;0,9825±0,0075;0,9834±0,0053;0,9771±0,0064;0,9992±0,0006;0,9843±0,0131;0,9725±0,0127;0,9783±0,0078;0,9992±0,0006;0,9129±0,0371;0,9115±0,0478;0,9086±0,0412;0,9992±0,0007;0,9860±0,0070;0,8599±0,4046;0,0015±0,0030;0,0317±0,0174;0,6411±0,3820;0,0125±0,0068;0,8977±0,0507;NaN±NaN;0,8975±0,0509;NaN±NaN;0,9780±0,0122;0,8562±0,0094;20,5171±0,4468;
0,0020±0,0008;0,9562±0,0109;0,9889±0,0071;0,9825±0,0075;0,9834±0,0053;0,9771±0,0064;0,9992±0,0006;0,9843±0,0131;0,9725±0,0127;0,9783±0,0078;0,9992±0,0006;0,9129±0,0371;0,9115±0,0478;0,9086±0,0412;0,9992±0,0007;0,9860±0,0070;0,8569±0,3998;0,0015±0,0030;0,0317±0,0174;0,6381±0,3779;0,0125±0,0068;0,8977±0,0507;NaN±NaN;0,8975±0,0509;NaN±NaN;0,9782±0,0120;0,8562±0,0094;20,3753±0,4074;
