Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;7.070503523028521;5.650283268538936;5.518699512521752;8.456947999492256;6.68536704008014;
birds;0.8701966573020331;4.026215805471125;3.6840189792690605;0.8753649547695399;0.8330827774123838;
Business1;0.4623642639413845;0.47327230577014573;0.5642863239560401;0.46211291568175644;0.4600657191773939;
CAL500;4.096112195090587;4.412921324356149;2.5179672494599585;4.118796053657779;4.031082920544277;
Computers1;1.837256722633118;1.2612180872017227;1.3133602557314266;1.7677766330805071;1.8187571161556055;
Corel5k;75.26852985665923;14.65976377543055;14.180722453749922;500.71859296482415;57.71440037640808;
Education1;29.132610627427923;3.316447964607411;3.2643812489763366;29.306788754985376;26.853145130674992;
emotions;0.9680119361443043;0.9200777952678983;0.7745745458821628;0.9798565213428393;0.9321150808117635;
enron;2.262068711631386;2.7488792212934654;2.4446735520926106;2.2868562780386337;2.2244876365160335;
Entertainment1;6.3990503484740735;2.1505668480636753;2.1299497239940077;6.451732116334873;6.231285176210275;
flags_ml;0.7173714173430343;0.8727284872859785;0.6510854139938549;0.720682945139177;0.7310635970908295;
protein;0.07571890297250203;0.05319894694432879;0.050304614473022695;0.08623480030480099;0.05210177569972565;
Health1;2.407741680311872;1.6109995256977796;1.5437407382944528;2.407583319332618;2.3619862876342292;
mediamill;1.1964005062872303;1.203482747986487;1.1420586881175396;1.205455743876133;1.1947277472220605;
medical;0.9979908600472952;0.709017301559327;0.7437519692482196;1.1756499475948323;0.8925795037668817;
scene;0.566475620278182;0.4138533756511128;0.45916675211809577;0.5634653075045792;0.561071771966839;
Science1;31.815934868021216;4.697396631232164;4.698887149198287;31.867046826119005;26.35104759225182;
Social1;2.9951078875575647;1.4077488506537827;1.466381344097332;2.9983966617026443;2.9693696572986887;
Society1;5.081049383792703;1.7858658611933933;1.8628263959160782;5.093166052337007;4.948769965089767;
yeast;0.9642168787529021;1.0279586492678365;0.865016490641384;0.9669608536433708;0.9611325144612157;
