Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;7.494880655806869;6.135836658256046;5.573441410284292;9.309815515646436;6.938753603532892;
birds;4.226538454857948;1.9173301907804627;1.1362269319056169;4.56551495060136;3.333998292421277;
Business1;0.7955988401634683;0.7767697967668465;0.5553715810136307;0.7947760091577847;0.7911395859752463;
CAL500;3.5795267697607787;3.720512904950806;1.1519852772436479;3.648961547454499;3.4757421025238586;
Computers1;2.2235858645805147;1.6347983211253831;1.3061334765991757;2.139486056872485;2.188171166968317;
Corel5k;69.16936548612387;15.495053874027665;14.90556758144536;487.14252405438293;51.80869577549818;
Education1;26.860657231493235;3.7396801932024473;3.152841886055798;26.991756895469553;25.062446162905132;
emotions;0.7530601518918665;0.7420709980889502;0.288086089249085;0.7591130753600985;0.7055879604583966;
enron;1.8321706065835675;3.400414268666919;2.542448657914715;1.9030625906338952;1.7767637057015389;
Entertainment1;6.790465920267134;2.5843208577791077;2.1748627772763154;6.839021822286681;6.549082951475655;
flags_ml;0.3523084821228218;0.5904275117709428;0.1431264801956036;0.3549457379382718;0.35794665398051223;
protein;0.12226741746963742;0.09714569479851262;0.0832660900608551;0.13747893257657826;0.07527410833843147;
Health1;3.1912862911084856;2.090388134502397;1.2971763430192687;3.1904699225350184;3.115460002766711;
mediamill;1.1746388078619463;1.1088290225180388;0.5981535821412255;1.1870702699124238;1.1728959164112596;
medical;0.9915724935373096;0.7443101256656238;0.6893772051266835;1.1637569583279284;0.8847613942216894;
scene;0.5751896340425001;0.4440345799179013;0.2726227198408276;0.5673699952933992;0.5637860331095027;
Science1;39.26843898765143;5.843807671478195;5.520182140162479;39.433452105808016;31.69443999368935;
Social1;3.5904107641811964;1.7370520325745373;1.4357146021731784;3.595560366805831;3.5510650025244486;
Society1;6.889823282931164;2.4278100806498526;1.9489124899940584;6.911553992472887;6.689816060812251;
yeast;0.7280533635662133;0.8181186169574408;0.3325598777082007;0.7309932063498568;0.7245246381225456;
