Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,1687±0,0071;0,0000±0,0000;0,4184±0,0204;0,2852±0,0202;0,3310±0,0103;0,2021±0,0074;0,9282±0,0112;0,4099±0,0211;0,2812±0,0204;0,3325±0,0097;0,9281±0,0112;0,1617±0,0099;0,1433±0,0119;0,1426±0,0107;0,8999±0,0133;0,3331±0,0203;169,2151±0,8642;0,7551±0,0549;1,0000±0,0000;1226,7793±80,8414;0,3209±0,0210;0,2004±0,0030;NaN±NaN;0,2240±0,0023;NaN±NaN;0,6794±0,0197;0,5227±0,0015;236,0488±35,0800;
0,1464±0,0038;0,0000±0,0000;0,5301±0,0192;0,2494±0,0115;0,3328±0,0099;0,2035±0,0071;0,9608±0,0038;0,5239±0,0159;0,2455±0,0108;0,3341±0,0097;0,9606±0,0038;0,1418±0,0088;0,1252±0,0091;0,1249±0,0100;0,9329±0,0048;0,4531±0,0095;138,6757±2,9704;0,4521±0,0452;1,0000±0,0000;747,6138±18,5069;0,1951±0,0025;0,2019±0,0042;NaN±NaN;0,2252±0,0042;NaN±NaN;0,8018±0,0028;0,5110±0,0022;68,0671±2,5091;
0,1422±0,0031;0,0000±0,0000;0,5649±0,0187;0,2409±0,0093;0,3317±0,0091;0,2023±0,0069;0,9674±0,0026;0,5597±0,0156;0,2358±0,0079;0,3316±0,0078;0,9673±0,0026;0,1188±0,0137;0,1163±0,0091;0,1123±0,0110;0,9393±0,0038;0,4802±0,0136;130,5221±1,4663;0,1752±0,0371;1,0000±0,0000;708,8041±28,4989;0,1849±0,0062;0,1991±0,0040;NaN±NaN;0,2228±0,0048;NaN±NaN;0,8119±0,0063;0,5056±0,0009;61,0323±0,9620;
