Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,0707±0,0083;0,3752±0,0271;0,5226±0,0222;0,5276±0,0202;0,5093±0,0228;0,4750±0,0222;0,9576±0,0088;0,3671±0,0441;0,4228±0,0370;0,3907±0,0276;0,9579±0,0091;0,2411±0,0485;0,2887±0,0437;0,2514±0,0396;0,9565±0,0094;0,6300±0,0417;2,3690±0,2848;0,6961±0,0358;0,3752±0,0342;2,3178±0,3914;0,0794±0,0151;0,3390±0,0377;NaN±NaN;0,3595±0,0421;NaN±NaN;0,8465±0,0158;0,8228±0,0263;15,7130±0,5961;
0,0455±0,0025;0,5085±0,0327;0,6258±0,0365;0,5851±0,0416;0,5934±0,0403;0,5711±0,0386;0,9923±0,0028;0,6897±0,0439;0,2810±0,0508;0,3946±0,0488;0,9926±0,0027;0,3868±0,0926;0,2212±0,0895;0,2632±0,0911;0,9922±0,0029;0,6544±0,0385;2,1953±0,2936;0,6713±0,0211;0,3767±0,0309;2,0977±0,4152;0,0704±0,0137;0,4134±0,0718;NaN±NaN;0,4347±0,0745;NaN±NaN;0,8598±0,0198;0,8197±0,0330;14,0739±0,1928;
0,0469±0,0020;0,4946±0,0330;0,6003±0,0255;0,5585±0,0258;0,5688±0,0258;0,5494±0,0272;0,9931±0,0025;0,6799±0,0470;0,2371±0,0287;0,3492±0,0253;0,9934±0,0024;0,3359±0,0517;0,1756±0,0469;0,2165±0,0535;0,9931±0,0025;0,6496±0,0234;2,3070±0,3045;0,6822±0,0177;0,3674±0,0301;2,2233±0,3451;0,0740±0,0125;0,4005±0,0538;NaN±NaN;0,4192±0,0578;NaN±NaN;0,8489±0,0171;0,8066±0,0305;13,9024±0,2052;
