Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,0100±0,0010;0,6748±0,0392;0,7990±0,0197;0,8248±0,0120;0,7977±0,0179;0,7669±0,0230;0,9951±0,0009;0,8258±0,0290;0,8110±0,0127;0,8182±0,0189;0,9951±0,0009;0,6825±0,0334;0,6786±0,0315;0,6742±0,0291;0,9947±0,0010;0,8562±0,0195;3,7103±0,5120;0,1678±0,0296;0,2291±0,0273;3,6150±0,5525;0,0635±0,0116;0,5595±0,0329;NaN±NaN;0,5696±0,0324;NaN±NaN;0,9335±0,0100;0,7085±0,0157;3,6056±0,5699;
0,0101±0,0011;0,6666±0,0368;0,7919±0,0258;0,8178±0,0197;0,7906±0,0236;0,7597±0,0263;0,9951±0,0008;0,8252±0,0269;0,8051±0,0199;0,8149±0,0213;0,9951±0,0008;0,6845±0,0403;0,6851±0,0396;0,6791±0,0375;0,9947±0,0008;0,8584±0,0172;3,4866±0,1956;0,1678±0,0317;0,2291±0,0228;3,3913±0,2930;0,0593±0,0076;0,5704±0,0364;NaN±NaN;0,5808±0,0363;NaN±NaN;0,9377±0,0062;0,7132±0,0146;3,2450±0,3729;
0,0098±0,0010;0,6819±0,0301;0,8002±0,0218;0,8224±0,0163;0,7981±0,0186;0,7692±0,0207;0,9954±0,0008;0,8328±0,0263;0,8085±0,0187;0,8204±0,0200;0,9954±0,0008;0,6874±0,0372;0,6890±0,0340;0,6821±0,0329;0,9950±0,0009;0,8625±0,0225;3,3135±0,3809;0,1657±0,0393;0,2271±0,0333;3,2162±0,4437;0,0553±0,0090;0,5680±0,0259;NaN±NaN;0,5796±0,0255;NaN±NaN;0,9414±0,0080;0,7156±0,0103;3,0863±0,5012;
