Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,0225±0,0027;0,3455±0,1737;0,4555±0,2105;0,4423±0,2266;0,4352±0,2116;0,4118±0,2014;0,9930±0,0046;0,6772±0,1068;0,4278±0,2219;0,4736±0,1865;0,9930±0,0046;0,2663±0,1141;0,2754±0,1237;0,2617±0,1197;0,9927±0,0047;0,6049±0,1691;4,5877±1,0890;0,4857±0,2256;0,5820±0,2140;4,7124±1,1985;0,0813±0,0219;0,5392±0,0418;NaN±NaN;0,5457±0,0419;NaN±NaN;0,9125±0,0219;0,7553±0,0160;23,3603±13,1791;
0,0224±0,0030;0,3526±0,1767;0,4569±0,2102;0,4387±0,2211;0,4353±0,2097;0,4137±0,2009;0,9933±0,0038;0,6543±0,0651;0,4229±0,2162;0,4747±0,1867;0,9933±0,0038;0,2546±0,1127;0,2595±0,1201;0,2480±0,1177;0,9930±0,0039;0,6094±0,1743;4,5722±1,0970;0,4786±0,2327;0,5748±0,2196;4,6745±1,2099;0,0807±0,0216;0,5437±0,0359;NaN±NaN;0,5509±0,0357;NaN±NaN;0,9128±0,0222;0,7599±0,0137;23,3936±13,0772;
0,0227±0,0025;0,3578±0,1786;0,4647±0,2159;0,4424±0,2229;0,4409±0,2132;0,4189±0,2037;0,9928±0,0045;0,6519±0,0771;0,4271±0,2195;0,4722±0,1825;0,9929±0,0045;0,2466±0,1068;0,2535±0,1136;0,2415±0,1115;0,9925±0,0046;0,6127±0,1781;4,5041±1,2677;0,4755±0,2363;0,5707±0,2256;4,6259±1,3854;0,0795±0,0249;0,5490±0,0290;NaN±NaN;0,5570±0,0308;NaN±NaN;0,9133±0,0257;0,7584±0,0175;23,4147±13,1160;
