Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,0467±0,0057;0,4868±0,0384;0,6369±0,0570;0,5853±0,0574;0,5975±0,0555;0,5698±0,0523;0,9895±0,0022;0,6268±0,0712;0,3055±0,0683;0,4092±0,0740;0,9899±0,0021;0,3010±0,0888;0,1936±0,0803;0,2195±0,0810;0,9894±0,0023;0,6450±0,0496;2,2806±0,2413;0,6884±0,0330;0,3628±0,0568;2,1643±0,3068;0,0744±0,0119;0,3716±0,0313;NaN±NaN;0,3931±0,0329;NaN±NaN;0,8547±0,0112;0,8349±0,0125;15,1794±0,1654;
0,0431±0,0049;0,5163±0,0479;0,6571±0,0468;0,6192±0,0497;0,6249±0,0488;0,5973±0,0495;0,9901±0,0033;0,6895±0,0766;0,3603±0,0526;0,4708±0,0521;0,9906±0,0031;0,4498±0,0779;0,2684±0,0589;0,3133±0,0630;0,9902±0,0032;0,6878±0,0344;2,0744±0,2709;0,6481±0,0126;0,3395±0,0390;1,9442±0,3520;0,0647±0,0124;0,4458±0,0720;NaN±NaN;0,4612±0,0747;NaN±NaN;0,8751±0,0157;0,8358±0,0207;13,9395±0,3303;
0,0429±0,0036;0,5147±0,0284;0,6549±0,0356;0,6060±0,0357;0,6159±0,0354;0,5900±0,0344;0,9933±0,0016;0,7327±0,0620;0,3095±0,0288;0,4350±0,0381;0,9936±0,0016;0,4138±0,0550;0,2389±0,0412;0,2833±0,0430;0,9932±0,0017;0,6576±0,0325;2,2140±0,2421;0,6744±0,0196;0,3550±0,0330;2,1473±0,3046;0,0714±0,0110;0,4312±0,0588;NaN±NaN;0,4490±0,0613;NaN±NaN;0,8597±0,0157;0,8169±0,0203;13,8531±0,0930;
