Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,0248±0,0013;0,0014±0,0006;0,4092±0,0034;0,2070±0,0031;0,2308±0,0027;0,1455±0,0020;0,9906±0,0013;0,2954±0,0248;0,1987±0,0038;0,2370±0,0076;0,9905±0,0013;0,0944±0,0047;0,0833±0,0018;0,0823±0,0014;0,9897±0,0013;0,2541±0,0016;834,8181±4,2072;0,5770±0,0072;0,9975±0,0007;4075,8767±22,6924;0,2268±0,0013;0,0613±0,0023;0,0000±0,0000;0,0732±0,0025;0,0000±0,0000;0,7759±0,0009;0,5570±0,0021;252,5622±20,3407;
0,0239±0,0008;0,0016±0,0004;0,4107±0,0076;0,1999±0,0035;0,2266±0,0047;0,1431±0,0033;0,9916±0,0009;0,3100±0,0213;0,1915±0,0037;0,2365±0,0075;0,9915±0,0009;0,0969±0,0046;0,0797±0,0011;0,0814±0,0012;0,9907±0,0009;0,2607±0,0020;818,6360±4,5769;0,5721±0,0051;0,9971±0,0002;3795,3047±29,8723;0,2125±0,0020;0,0631±0,0022;0,0000±0,0000;0,0751±0,0020;0,0000±0,0000;0,7914±0,0020;0,5581±0,0017;227,8670±6,8960;
0,0214±0,0005;0,0014±0,0010;0,4318±0,0088;0,1895±0,0023;0,2258±0,0037;0,1428±0,0027;0,9944±0,0006;0,3875±0,0245;0,1803±0,0026;0,2459±0,0050;0,9943±0,0006;0,1068±0,0065;0,0726±0,0012;0,0794±0,0009;0,9936±0,0006;0,2738±0,0030;790,5581±2,6199;0,5491±0,0036;0,9975±0,0005;3356,3522±39,8630;0,1894±0,0021;0,0673±0,0021;0,0000±0,0000;0,0787±0,0017;0,0000±0,0000;0,8152±0,0029;0,5575±0,0016;189,9241±5,5753;
