Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,0195±0,0001;0,0011±0,0005;0,4552±0,0112;0,1969±0,0019;0,2444±0,0035;0,1563±0,0024;0,9961±0,0001;0,4878±0,0115;0,1883±0,0027;0,2717±0,0042;0,9961±0,0001;0,1311±0,0015;0,0743±0,0017;0,0860±0,0017;0,9954±0,0001;0,2794±0,0034;799,7596±3,0346;0,5229±0,0099;0,9976±0,0003;3512,2963±15,5184;0,1979±0,0010;0,0758±0,0011;0,0000±0,0000;0,0880±0,0016;0,0000±0,0000;0,8083±0,0010;0,5465±0,0017;142,8898±1,9101;
0,0193±0,0001;0,0019±0,0005;0,4623±0,0104;0,1925±0,0024;0,2411±0,0043;0,1545±0,0029;0,9964±0,0001;0,5010±0,0095;0,1833±0,0032;0,2684±0,0047;0,9964±0,0001;0,1322±0,0034;0,0720±0,0016;0,0850±0,0021;0,9957±0,0001;0,2855±0,0033;777,2432±4,7301;0,5167±0,0057;0,9968±0,0008;3213,0382±12,9295;0,1818±0,0008;0,0777±0,0019;0,0000±0,0000;0,0895±0,0020;0,0000±0,0000;0,8246±0,0010;0,5496±0,0008;131,4631±1,2689;
0,0190±0,0001;0,0012±0,0007;0,4712±0,0107;0,1856±0,0019;0,2369±0,0037;0,1520±0,0026;0,9969±0,0001;0,5250±0,0095;0,1760±0,0027;0,2636±0,0040;0,9969±0,0001;0,1344±0,0012;0,0690±0,0014;0,0825±0,0012;0,9962±0,0001;0,2940±0,0036;745,1955±5,6735;0,5003±0,0068;0,9973±0,0004;2944,8439±17,9277;0,1671±0,0009;0,0802±0,0005;0,0000±0,0000;0,0915±0,0008;0,0000±0,0000;0,8390±0,0010;0,5533±0,0010;122,3013±1,4652;
