Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,0131±0,0011;0,0030±0,0019;0,1579±0,0071;0,0848±0,0053;0,1001±0,0049;0,0666±0,0037;0,9955±0,0012;0,1576±0,0246;0,0857±0,0040;0,1101±0,0073;0,9955±0,0012;0,0528±0,0282;0,0394±0,0283;0,0427±0,0283;0,9952±0,0012;0,2006±0,0034;193,2820±5,8706;0,7778±0,0100;0,9928±0,0045;298,7512±9,3163;0,2299±0,0075;0,0302±0,0008;NaN±NaN;0,0358±0,0010;NaN±NaN;0,7702±0,0078;0,5181±0,0028;66,1486±4,7284
0,0135±0,0010;0,0020±0,0011;0,1564±0,0046;0,0866±0,0041;0,1007±0,0035;0,0669±0,0025;0,9950±0,0011;0,1473±0,0231;0,0876±0,0034;0,1090±0,0060;0,9950±0,0011;0,0328±0,0044;0,0216±0,0043;0,0245±0,0040;0,9948±0,0011;0,2045±0,0061;187,3952±6,6138;0,7772±0,0146;0,9942±0,0010;288,7620±10,0012;0,2219±0,0077;0,0299±0,0011;NaN±NaN;0,0353±0,0013;NaN±NaN;0,7769±0,0087;0,5194±0,0037;67,0741±4,3523
0,0122±0,0008;0,0028±0,0015;0,1552±0,0054;0,0790±0,0027;0,0962±0,0029;0,0644±0,0019;0,9965±0,0008;0,1844±0,0410;0,0799±0,0026;0,1105±0,0085;0,9965±0,0008;0,0728±0,0691;0,0551±0,0667;0,0595±0,0670;0,9962±0,0008;0,2159±0,0069;162,3668±5,1340;0,7614±0,0132;0,9940±0,0013;245,6482±6,3578;0,1892±0,0046;0,0323±0,0019;NaN±NaN;0,0377±0,0024;NaN±NaN;0,8110±0,0049;0,5171±0,0022;60,2688±4,7987
