Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,1387±0,0034;0,0000±0,0000;0,6493±0,0247;0,1787±0,0175;0,2714±0,0199;0,1614±0,0135;0,9822±0,0032;0,6346±0,0210;0,1744±0,0171;0,2729±0,0197;0,9821±0,0032;0,1465±0,0166;0,0944±0,0157;0,0999±0,0162;0,9621±0,0055;0,4950±0,0081;133,8645±1,9059;0,1254±0,0130;1,0000±0,0000;715,7240±22,7835;0,1872±0,0042;0,2244±0,0084;NaN±NaN;0,2466±0,0084;NaN±NaN;0,8102±0,0046;0,5806±0,0095;116,9750±1,9165;
0,1380±0,0029;0,0000±0,0000;0,6294±0,0152;0,2102±0,0183;0,3072±0,0189;0,1858±0,0135;0,9778±0,0029;0,6185±0,0141;0,2047±0,0169;0,3071±0,0183;0,9777±0,0029;0,1292±0,0083;0,1025±0,0073;0,1027±0,0084;0,9532±0,0043;0,5087±0,0110;131,2648±1,7537;0,1235±0,0240;1,0000±0,0000;680,6590±19,2164;0,1779±0,0037;0,2307±0,0119;NaN±NaN;0,2525±0,0116;NaN±NaN;0,8194±0,0038;0,5878±0,0107;122,7654±2,2687;
0,1377±0,0029;0,0000±0,0000;0,6243±0,0205;0,2182±0,0116;0,3159±0,0108;0,1920±0,0082;0,9769±0,0026;0,6178±0,0167;0,2120±0,0106;0,3153±0,0104;0,9768±0,0025;0,1190±0,0047;0,1039±0,0081;0,1015±0,0097;0,9510±0,0035;0,5089±0,0118;130,7670±2,1276;0,1175±0,0212;1,0000±0,0000;676,9579±19,7451;0,1768±0,0037;0,2323±0,0097;NaN±NaN;0,2545±0,0104;NaN±NaN;0,8204±0,0039;0,5852±0,0089;125,1655±2,0702;
