Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;0.07020804490378525;0.1415635402990731;0.16536036589103054;0.06710363072432037;0.07398778668555542;
birds;0.533514211886305;0.18493540051679588;0.26095607235142115;0.5323772609819122;0.5508268733850128;
Business1;0.683948910167888;0.6935198089723624;0.7563514579372415;0.6838597438727476;0.684877858311841;
CAL500;0.22148102118199176;0.21417072430994116;0.4960261622308984;0.21764356824687264;0.22145714144921996;
Computers1;0.32994281423153565;0.4435914546827167;0.530746801935973;0.32946543459550104;0.3321708651616054;
Corel5k;0.004946666666666667;0.06087666666666671;0.06292666666666671;0.00364;0.007263333333333334;
Education1;0.02377686735542097;0.21397570979865227;0.2818125280095355;0.023624470569607724;0.025123500771879824;
emotions;0.548803589232303;0.5718202535251388;0.7742534301856335;0.5418079096045199;0.5555571381094812;
enron;0.3386024010777332;0.27662465670530195;0.3399808925525244;0.32831176429516096;0.3475713505343487;
Entertainment1;0.10272933577725407;0.29637940704382887;0.36180076516550125;0.10292659509470195;0.10379680544645195;
flags_ml;0.7539586144849303;0.6094768973716342;0.875552021078337;0.749957264957265;0.747480881691408;
protein;0.930863332573859;0.94988664843928;0.9540083162451584;0.9250780359990888;0.9549848105111263;
Health1;0.2884690793544677;0.3751159088964632;0.5177413599738425;0.2885777159650055;0.2924107777068124;
mediamill;0.4816744115384914;0.49644554997261026;0.6541565064917971;0.4806420529014305;0.4812844166621527;
medical;0.44855572998430143;0.5847104482818768;0.6049912785627072;0.42605703819989527;0.47140240711669285;
scene;0.6295570546607892;0.7032977918870035;0.8011411507262128;0.6295570546607892;0.6328834579871924;
Science1;0.019390992807189984;0.16268813703598367;0.19326550664198852;0.01946881381886314;0.022580746575699705;
Social1;0.23201345684428518;0.3909178575537503;0.4753671825162014;0.23201345684428518;0.23303184210281605;
Society1;0.15665206314808183;0.3516763946086544;0.42849081957340635;0.15667502789719193;0.15923378050140002;
yeast;0.571378303563574;0.5447209282726583;0.7604607258885147;0.5703184084113582;0.5726257542746047;
