Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;59894.2;12806.2;12738.4;93437.4;63622.8;
birds;1161.6;235.2;248.6;1196.8;1183.2;
Business1;477163.0;100876.6;102623.4;496183.0;467558.0;
CAL500;290.8;73.0;68.0;410.8;296.2;
Computers1;730608.0;159756.0;155878.4;755736.2;738996.4;
Corel5k;89708.4;18409.8;18337.2;134332.2;89920.2;
Education1;587731.2;129890.2;126669.0;609466.2;584268.6;
emotions;244.6;49.0;50.6;251.6;242.8;
enron;2988.4;655.8;655.8;3461.4;2986.0;
Entertainment1;844679.2;182033.4;181855.0;866168.2;844242.0;
flags_ml;10.2;2.4;2.4;10.4;9.8;
protein;3637.2;743.4;755.0;3649.8;3651.6;
Health1;355400.6;77825.0;78072.8;369167.2;358941.0;
mediamill;685019.8;137378.8;137786.0;1132961.2;682698.8;
medical;302.0;86.4;92.6;409.2;301.2;
scene;14577.8;2995.4;2899.2;14777.2;14623.6;
Science1;270160.0;61689.0;60809.4;277045.6;268590.4;
Social1;907932.2;198887.6;200201.2;926920.8;881073.8;
Society1;1318411.8;283566.2;282107.2;1352919.4;1317577.6;
yeast;6248.4;1239.2;1272.4;6316.4;6227.4;
