Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;0.2596834019712783;0.2491563569231678;0.2434899735766541;0.2619863630500673;0.25683694483321456;
birds;0.5017395890424396;0.5751149084769599;0.5614704557821604;0.49372648016579745;0.5000162197785627;
Business1;0.8673996916398294;0.833426082143232;0.8225971712103262;0.8672487265652145;0.8672289805467001;
CAL500;0.4791018115533044;0.43114369535431096;0.41183162474715;0.48978613659782094;0.4765704674531734;
Computers1;0.6342445706782257;0.5801826663185654;0.555864605003317;0.6341184443236301;0.6341287507550784;
Corel5k;0.2267116681519819;0.15857386221112207;0.15847945083546067;0.2252971109827034;0.22520652010844064;
Education1;0.49801269827558936;0.39900100618658874;0.3907373490314391;0.4981367164191072;0.4979507416437903;
emotions;0.7762151244678662;0.7815231685894697;0.769739076421529;0.7771659228663216;0.772559860102233;
enron;0.6046548891296414;0.5216459931503726;0.5109472707074735;0.6018911528288611;0.6044923202580109;
Entertainment1;0.5591122778451698;0.4634894221980577;0.45540022768897537;0.5575716018417349;0.5590080548668427;
flags_ml;0.7969134856371698;0.805310380652486;0.7939676434676434;0.7944093995672944;0.8042084056294583;
protein;0.9737660917170562;0.9819873357636515;0.9821135983899142;0.9647763416461942;0.9747233413047913;
Health1;0.6339306072284572;0.5713440759766167;0.5449554016090185;0.6334968448644067;0.6335495326196072;
mediamill;0.7274385871277842;0.7114360925003342;0.6907629976117552;0.727351509809775;0.7273051154125517;
medical;0.7256837324878276;0.7327364316563819;0.7354348240408879;0.7174476523419024;0.7206251697048651;
scene;0.83861169819676;0.8337940637733166;0.8152649361777989;0.8395945514617711;0.8389789454312272;
Science1;0.4168669732249427;0.2951854570811342;0.291180717417238;0.4155857633111332;0.4162921796352059;
Social1;0.6370062226520712;0.54689267293525;0.5320266811050699;0.6367542621421758;0.6368559842678425;
Society1;0.5626522796417058;0.531532174288552;0.5295765276353822;0.5625377438806841;0.5623623044726658;
yeast;0.7537996062740274;0.7453206000236321;0.7346910669664883;0.753781186241405;0.7537693579136044;
