Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;0.062361845849311995;0.14230834195871506;0.09406038008882558;0.06510005671951448;0.0823295531533123;
birds;0.24597377768430398;0.22267577053217963;0.24889170146659206;0.24489993924204448;0.29977330687164483;
Business1;0.25864771561312316;0.298146537804297;0.12113240734413899;0.2579203687849871;0.27510020848327077;
CAL500;0.12828824549717374;0.17942859349302093;0.17416442628018156;0.12329889611759408;0.14120838799522978;
Computers1;0.3909175287654353;0.4094738913423539;0.1318261469119685;0.3910616122583071;0.4251518629540028;
Corel5k;0.2011688311688312;0.20912864391652888;0.2104713183948912;0.19931245225362873;0.2067273190267843;
Education1;0.22259462904135435;0.22230737377696191;0.09211844619830625;0.22287610992092138;0.25421819066491597;
emotions;0.7068013059797861;0.7062604774644524;0.5816843877171092;0.7025196209108934;0.7124040034021092;
enron;0.193914051942137;0.22374122377593916;0.16791453438502996;0.19413675387689844;0.1933505343671785;
Entertainment1;0.48551586033977945;0.32629150390976197;0.18732786655913874;0.4828079301244282;0.5012621775808832;
flags_ml;0.5295961661154054;0.5931482857144325;0.6109490349527944;0.5327561179053881;0.5447851579503659;
protein;0.8012345679012345;0.8189585292932973;0.8374770478118159;0.6507229105504968;0.7968312757201645;
Health1;0.3492759751220069;0.34950758195010573;0.1244648084618678;0.34601521281435316;0.37371466965579797;
mediamill;0.3312370284396674;0.3735266498255026;0.13171224800851172;0.342980036564409;0.3575796961111931;
medical;0.4949533648533161;0.5223960735815089;0.3902435732128791;0.5089091457863791;0.5112853907388835;
scene;0.79480914661293;0.7567394487080059;0.6457720488781656;0.7954288047325881;0.7940407311386322;
Science1;0.10573993681050131;0.1852484761353493;0.09683529837227485;0.10623993681050133;0.15103539135595587;
Social1;0.18500157481882207;0.2110560802970633;0.09150952216958205;0.174356294226283;0.2065095113267586;
Society1;0.2338379872654725;0.23379759498110525;0.13808079143408086;0.2357675103479746;0.2820770382169418;
yeast;0.5661714992126703;0.5751058335347687;0.41624791539360856;0.5651989547193356;0.5949183978473297;
