Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,0747±0,0096;0,3318±0,0308;0,4848±0,0378;0,4715±0,0453;0,4647±0,0425;0,4306±0,0394;0,9547±0,0092;0,3378±0,0473;0,4004±0,0535;0,3645±0,0419;0,9549±0,0093;0,2129±0,0564;0,2774±0,0684;0,2316±0,0586;0,9539±0,0094;0,4641±0,0707;4,9271±0,6686;0,7628±0,0415;0,4496±0,0377;5,6946±1,0545;0,1886±0,0374;0,2011±0,0324;NaN±NaN;0,2207±0,0355;NaN±NaN;0,6626±0,0462;0,6141±0,0240;16,5809±4,2275;
0,0486±0,0018;0,4884±0,0343;0,6332±0,0339;0,5844±0,0431;0,5935±0,0391;0,5651±0,0384;0,9864±0,0028;0,5847±0,0239;0,3236±0,0417;0,4140±0,0309;0,9869±0,0027;0,3098±0,0620;0,2161±0,0644;0,2402±0,0617;0,9864±0,0029;0,5010±0,0397;4,2775±0,5717;0,7333±0,0187;0,4388±0,0369;4,8326±0,8015;0,1595±0,0292;0,2407±0,0314;NaN±NaN;0,2579±0,0310;NaN±NaN;0,7206±0,0355;0,6061±0,0201;5,4126±0,4608;
0,0492±0,0017;0,4760±0,0352;0,6169±0,0232;0,5661±0,0346;0,5781±0,0301;0,5503±0,0305;0,9881±0,0010;0,5813±0,0076;0,2782±0,0219;0,3759±0,0210;0,9887±0,0009;0,2853±0,0459;0,1864±0,0385;0,2147±0,0385;0,9881±0,0010;0,4575±0,0260;4,4977±0,4813;0,7612±0,0247;0,4744±0,0362;4,9736±0,6251;0,1665±0,0252;0,2162±0,0233;NaN±NaN;0,2335±0,0251;NaN±NaN;0,7191±0,0264;0,5913±0,0198;4,6359±0,3965;
