Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,0503±0,0029;0,1081±0,0254;0,6420±0,0240;0,4843±0,0138;0,5163±0,0160;0,4088±0,0169;0,9828±0,0033;0,6496±0,0423;0,4637±0,0109;0,5405±0,0161;0,9828±0,0033;0,2967±0,0327;0,1915±0,0171;0,2118±0,0185;0,9745±0,0032;0,6817±0,0179;11,9743±1,0265;0,2620±0,0287;0,8249±0,0205;13,6517±1,4755;0,0782±0,0085;0,2510±0,0188;NaN±NaN;0,2650±0,0184;NaN±NaN;0,9113±0,0089;0,7138±0,0204;40,0098±0,2870;
0,0502±0,0034;0,1058±0,0218;0,6527±0,0204;0,4816±0,0139;0,5182±0,0172;0,4091±0,0180;0,9830±0,0036;0,6520±0,0488;0,4620±0,0068;0,5401±0,0190;0,9830±0,0036;0,2788±0,0390;0,1884±0,0184;0,2066±0,0208;0,9744±0,0037;0,6860±0,0178;11,9072±0,9722;0,2456±0,0240;0,8302±0,0169;13,5958±1,4213;0,0772±0,0081;0,2499±0,0206;NaN±NaN;0,2631±0,0198;NaN±NaN;0,9111±0,0086;0,7084±0,0262;40,2513±0,2027;
0,0493±0,0029;0,0993±0,0174;0,6562±0,0162;0,4862±0,0096;0,5228±0,0133;0,4118±0,0130;0,9836±0,0026;0,6615±0,0400;0,4689±0,0094;0,5485±0,0199;0,9836±0,0026;0,2815±0,0287;0,1836±0,0177;0,2008±0,0199;0,9747±0,0027;0,6849±0,0187;11,9025±0,9576;0,2538±0,0265;0,8279±0,0145;13,5747±1,4460;0,0773±0,0083;0,2465±0,0172;NaN±NaN;0,2609±0,0157;NaN±NaN;0,9118±0,0086;0,7086±0,0291;40,7975±0,4679;
