Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,0177±0,0031;0,5921±0,0178;0,7323±0,0137;0,7872±0,0213;0,7389±0,0163;0,7007±0,0149;0,9882±0,0030;0,6565±0,0623;0,7741±0,0230;0,7090±0,0395;0,9882±0,0030;0,3850±0,1417;0,4313±0,1224;0,3968±0,1302;0,9877±0,0030;0,7961±0,0193;5,7152±0,9690;0,2485±0,0198;0,3108±0,0304;5,6662±1,0141;0,0969±0,0186;0,4197±0,0635;NaN±NaN;0,4519±0,0561;NaN±NaN;0,8953±0,0191;0,6861±0,0178;11,8361±2,1564;
0,0188±0,0019;0,5982±0,0110;0,7315±0,0162;0,7742±0,0193;0,7331±0,0159;0,6980±0,0122;0,9875±0,0016;0,6351±0,0346;0,7610±0,0176;0,6922±0,0273;0,9875±0,0016;0,3223±0,0943;0,3851±0,0883;0,3421±0,0925;0,9870±0,0016;0,7937±0,0185;5,6319±1,0747;0,2454±0,0217;0,3201±0,0269;5,6729±1,2225;0,0975±0,0219;0,3856±0,0370;NaN±NaN;0,4216±0,0377;NaN±NaN;0,8955±0,0239;0,6719±0,0113;12,4257±1,2925;
0,0186±0,0026;0,6197±0,0199;0,7467±0,0191;0,7831±0,0190;0,7463±0,0178;0,7134±0,0166;0,9873±0,0024;0,6370±0,0470;0,7708±0,0174;0,6968±0,0321;0,9873±0,0024;0,3240±0,0855;0,3891±0,0769;0,3456±0,0829;0,9869±0,0024;0,8145±0,0061;4,7714±0,5874;0,2199±0,0187;0,2914±0,0086;4,7756±0,6906;0,0808±0,0137;0,3905±0,0428;NaN±NaN;0,4287±0,0411;NaN±NaN;0,9110±0,0132;0,6730±0,0079;12,2827±1,5850;
