Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,0105±0,0008;0,0000±0,0000;0,0997±0,0074;0,0413±0,0025;0,0525±0,0036;0,0343±0,0025;0,9986±0,0008;0,2407±0,0625;0,0413±0,0028;0,0693±0,0048;0,9986±0,0008;0,1828±0,0088;0,1689±0,0117;0,1710±0,0114;0,9984±0,0008;0,2405±0,0082;127,2632±4,9622;0,7062±0,0104;0,9962±0,0010;206,1738±8,2117;0,1586±0,0055;0,0634±0,0031;NaN±NaN;0,0717±0,0037;NaN±NaN;0,8424±0,0050;0,6435±0,0067;177,1312±62,4850;
0,0107±0,0008;0,0004±0,0008;0,1092±0,0126;0,0481±0,0052;0,0601±0,0065;0,0393±0,0043;0,9983±0,0008;0,2307±0,0486;0,0483±0,0055;0,0786±0,0067;0,9983±0,0008;0,1688±0,0181;0,1542±0,0193;0,1564±0,0189;0,9981±0,0008;0,2405±0,0089;127,5736±4,8446;0,7020±0,0133;0,9964±0,0010;206,7610±8,0523;0,1590±0,0053;0,0614±0,0020;NaN±NaN;0,0692±0,0023;NaN±NaN;0,8420±0,0049;0,6407±0,0074;177,8015±62,8288;
0,0102±0,0004;0,0006±0,0005;0,1027±0,0144;0,0418±0,0043;0,0550±0,0069;0,0362±0,0046;0,9988±0,0004;0,2728±0,0691;0,0421±0,0044;0,0724±0,0079;0,9988±0,0004;0,1742±0,0240;0,1552±0,0265;0,1574±0,0260;0,9987±0,0004;0,2432±0,0094;127,0328±5,0370;0,6986±0,0141;0,9962±0,0013;205,3662±8,4967;0,1580±0,0056;0,0624±0,0027;NaN±NaN;0,0703±0,0031;NaN±NaN;0,8430±0,0052;0,6422±0,0077;178,6181±63,1061;
