Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,3291±0,0105;0,1028±0,0194;0,4343±0,0162;0,5614±0,0609;0,4505±0,0291;0,3581±0,0216;0,7158±0,0386;0,4784±0,0175;0,5804±0,0553;0,5223±0,0146;0,7124±0,0396;0,4802±0,0205;0,5769±0,0593;0,5159±0,0163;0,7096±0,0421;0,6892±0,0232;2,4063±0,1315;0,4215±0,0448;0,6762±0,0163;1,9644±0,1604;0,2781±0,0248;0,5552±0,0261;0,5377±0,0295;0,5780±0,0222;0,5633±0,0261;0,7306±0,0181;0,7178±0,0175;5,1226±0,5483;
0,2605±0,0190;0,1753±0,0315;0,5124±0,0122;0,5810±0,0422;0,5076±0,0182;0,4241±0,0104;0,8107±0,0456;0,5861±0,0465;0,5937±0,0422;0,5865±0,0082;0,8060±0,0468;0,5847±0,0547;0,5797±0,0380;0,5671±0,0073;0,7990±0,0462;0,7251±0,0330;2,1516±0,1600;0,3895±0,0483;0,6239±0,0367;1,6390±0,1941;0,2305±0,0318;0,6195±0,0363;0,6064±0,0341;0,6436±0,0319;0,6329±0,0304;0,7819±0,0212;0,7730±0,0222;6,1548±1,2566;
0,2504±0,0241;0,1839±0,0356;0,5112±0,0404;0,5360±0,0777;0,4886±0,0496;0,4124±0,0412;0,8457±0,0575;0,6205±0,0623;0,5505±0,0734;0,5768±0,0261;0,8402±0,0600;0,6140±0,0583;0,5299±0,0683;0,5483±0,0251;0,8322±0,0587;0,7297±0,0269;2,1265±0,1367;0,3946±0,0401;0,5987±0,0370;1,6139±0,1676;0,2271±0,0267;0,6172±0,0302;0,6013±0,0255;0,6386±0,0277;0,6254±0,0237;0,7860±0,0194;0,7724±0,0225;5,8613±0,9313;
