Dataset;ML_KNN;BR_KNN_alpha;BR_Credal_KNN_alpha;DML_KNN;ML_Credal_KNN;
bibtex;0.13154535106808102;0.15239580973234484;0.15591394530423294;0.11033586614722517;0.13861850216760133;
birds;0.5426614987080104;0.20403100775193797;0.2170579549649317;0.5398708010335918;0.5500258397932816;
Business1;0.6888235550305718;0.6862466968260597;0.6640395035687492;0.6891178163986447;0.6897064332591877;
CAL500;0.19728146782271727;0.1859002087394908;0.2885550215416239;0.1963896501632415;0.20096543431472522;
Computers1;0.3653996935261693;0.4428040821307002;0.4507162110876661;0.3800577987908794;0.36795394076495463;
Corel5k;0.013221904761904763;0.06406333333333339;0.0661166666666667;0.00199;0.017205238095238093;
Education1;0.03351011000636936;0.2371670370361143;0.24093895644394386;0.03331615046078887;0.036304512888054044;
emotions;0.5321962683378436;0.534602145943123;0.5813723116365189;0.5339018658310781;0.5469591226321036;
enron;0.3137859073248069;0.26912637625920366;0.29198180503873117;0.3127086513002074;0.3169765532801588;
Entertainment1;0.14026129038108612;0.3277558581217725;0.3312909707790376;0.13909169973781127;0.14386781914079633;
flags_ml;0.5886800334168756;0.5579679969153654;0.5993294132767818;0.5855292076344708;0.5875907718012983;
protein;0.9453246753246753;0.9514925571504518;0.9542532467532467;0.935137275005696;0.9639992025518342;
Health1;0.2964023109487529;0.3930682812268911;0.40372556919813907;0.2963842048469966;0.3006246538783202;
mediamill;0.46627208223830535;0.4599728803712731;0.48284006857007;0.46384095436566775;0.4669153714119127;
medical;0.5604077271934415;0.5963060352346067;0.5882020757020757;0.4942769928484214;0.6029024943310657;
scene;0.6697134255225542;0.7234481529087339;0.7080720203126842;0.6725534343791605;0.671099570684633;
Science1;0.030823762755127763;0.17828330237033368;0.17853952011240623;0.030771882080679;0.03709617202806352;
Social1;0.25732283929661254;0.4330886033960481;0.4295225761614808;0.25708887287767507;0.25922886103366116;
Society1;0.16603571240063322;0.3641660974873545;0.3618561944475666;0.1656452246181251;0.1699715036110219;
yeast;0.5198534393559032;0.50473181257208;0.549164961739586;0.5186998550332054;0.5204263907786569;
