Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,0163±0,0010;0,0989±0,0108;0,3635±0,0070;0,3012±0,0134;0,2943±0,0081;0,2381±0,0081;0,9944±0,0010;0,4454±0,0368;0,2866±0,0125;0,3475±0,0053;0,9944±0,0010;0,3173±0,0184;0,2146±0,0177;0,2346±0,0120;0,9944±0,0010;0,5351±0,0049;22,8206±0,3857;0,4414±0,0081;0,7857±0,0068;29,2288±0,5521;0,0749±0,0008;0,3404±0,0023;0,2661±0,0050;0,3601±0,0040;0,2901±0,0059;0,9209±0,0020;0,9019±0,0036;129,9745±0,1558;
0,0186±0,0011;0,1007±0,0092;0,3659±0,0091;0,2981±0,0046;0,2883±0,0059;0,2337±0,0064;0,9922±0,0011;0,3570±0,0276;0,2803±0,0105;0,3133±0,0104;0,9922±0,0011;0,2525±0,0061;0,2057±0,0111;0,2160±0,0051;0,9921±0,0011;0,5396±0,0016;23,0506±0,4516;0,4319±0,0076;0,7750±0,0052;29,5041±0,5119;0,0760±0,0012;0,3368±0,0032;0,2605±0,0058;0,3561±0,0040;0,2842±0,0065;0,9196±0,0018;0,8991±0,0031;130,5505±0,1929;
0,0159±0,0009;0,1053±0,0077;0,3733±0,0061;0,2697±0,0049;0,2813±0,0059;0,2304±0,0059;0,9954±0,0007;0,4565±0,0383;0,2487±0,0057;0,3215±0,0123;0,9954±0,0007;0,2837±0,0204;0,1710±0,0063;0,2015±0,0086;0,9954±0,0007;0,5463±0,0029;22,3665±0,4548;0,4254±0,0091;0,7694±0,0038;28,6479±0,4189;0,0738±0,0017;0,3398±0,0026;0,2627±0,0059;0,3597±0,0031;0,2872±0,0060;0,9217±0,0016;0,9011±0,0035;131,2704±0,2061;
