Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,2328±0,0086;0,0335±0,0098;0,6703±0,0130;0,4960±0,0345;0,5294±0,0282;0,4070±0,0242;0,8941±0,0097;0,6534±0,0137;0,4920±0,0355;0,5606±0,0244;0,8867±0,0094;0,4438±0,0464;0,2758±0,0171;0,2997±0,0117;0,7954±0,0147;0,7240±0,0144;7,1108±0,1482;0,2532±0,0264;0,8548±0,0062;7,2784±0,3823;0,1981±0,0093;0,4042±0,0032;0,3028±0,0084;0,4332±0,0027;0,3358±0,0090;0,8009±0,0112;0,6143±0,0123;9,5094±0,5596;
0,2207±0,0101;0,0629±0,0076;0,6878±0,0202;0,5420±0,0382;0,5687±0,0265;0,4486±0,0243;0,8917±0,0126;0,6685±0,0217;0,5383±0,0347;0,5957±0,0241;0,8838±0,0131;0,4286±0,0248;0,3024±0,0239;0,3140±0,0169;0,7872±0,0151;0,7334±0,0168;6,8783±0,1493;0,2495±0,0263;0,8246±0,0205;6,9056±0,3978;0,1884±0,0116;0,4177±0,0062;0,3087±0,0186;0,4451±0,0076;0,3405±0,0172;0,8091±0,0110;0,6183±0,0116;10,2238±0,4558;
0,2187±0,0100;0,0691±0,0131;0,6923±0,0279;0,5356±0,0430;0,5663±0,0312;0,4478±0,0290;0,8973±0,0144;0,6774±0,0252;0,5317±0,0391;0,5947±0,0258;0,8896±0,0148;0,4186±0,0353;0,2960±0,0273;0,3067±0,0230;0,7922±0,0175;0,7355±0,0177;6,7828±0,1706;0,2441±0,0227;0,8155±0,0248;6,8312±0,4040;0,1866±0,0116;0,4158±0,0045;0,3047±0,0099;0,4409±0,0028;0,3314±0,0126;0,8103±0,0116;0,6168±0,0062;10,7356±0,3252;
