Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,2512±0,0240;0,2140±0,0375;0,3410±0,0384;0,4358±0,0355;0,3399±0,0367;0,3018±0,0379;0,7634±0,0297;0,1070±0,0101;0,5039±0,0681;0,1762±0,0162;0,7627±0,0278;0,0823±0,0097;0,3701±0,0452;0,1300±0,0141;0,7601±0,0281;0,5020±0,0330;3,6822±0,4688;0,7736±0,0257;0,4450±0,0280;3,9643±0,6711;0,1328±0,0196;0,2801±0,0358;NaN±NaN;0,3014±0,0400;NaN±NaN;0,7564±0,0334;0,7450±0,0395;16,6474±0,9595;
0,0566±0,0061;0,4543±0,0397;0,5405±0,0318;0,5086±0,0448;0,5139±0,0354;0,4979±0,0359;0,9872±0,0092;0,4857±0,1168;0,1655±0,0549;0,2315±0,0487;0,9872±0,0095;0,2274±0,0410;0,1297±0,0596;0,1486±0,0471;0,9868±0,0097;0,5262±0,0433;3,2791±0,5111;0,7612±0,0270;0,4388±0,0369;3,5380±0,7445;0,1177±0,0235;0,3162±0,0489;NaN±NaN;0,3367±0,0491;NaN±NaN;0,7814±0,0378;0,7549±0,0518;13,8191±0,3381;
0,0521±0,0042;0,4527±0,0397;0,5399±0,0327;0,4948±0,0429;0,5050±0,0386;0,4899±0,0392;0,9939±0,0046;0,5996±0,1509;0,1318±0,0248;0,2120±0,0350;0,9939±0,0048;0,2145±0,0447;0,1030±0,0617;0,1262±0,0615;0,9935±0,0050;0,5253±0,0479;3,1349±0,5466;0,7597±0,0310;0,4481±0,0414;3,3147±0,6205;0,1115±0,0240;0,3174±0,0428;NaN±NaN;0,3395±0,0423;NaN±NaN;0,7829±0,0285;0,7381±0,0293;14,0262±0,3365;
