Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,1407±0,0044;0,0000±0,0000;0,6709±0,0257;0,1477±0,0229;0,2310±0,0288;0,1346±0,0189;0,9854±0,0027;0,6338±0,0140;0,1437±0,0224;0,2334±0,0294;0,9853±0,0028;0,1458±0,0199;0,0846±0,0155;0,0919±0,0161;0,9686±0,0055;0,4811±0,0065;135,0755±1,0323;0,1754±0,0305;1,0000±0,0000;746,7546±26,5936;0,1950±0,0033;0,2227±0,0092;NaN±NaN;0,2448±0,0093;NaN±NaN;0,8026±0,0036;0,5762±0,0076;116,2807±1,6950;
0,1381±0,0031;0,0000±0,0000;0,6505±0,0279;0,1868±0,0135;0,2826±0,0132;0,1684±0,0091;0,9818±0,0030;0,6380±0,0278;0,1810±0,0133;0,2814±0,0139;0,9818±0,0031;0,1228±0,0183;0,0950±0,0121;0,0970±0,0127;0,9606±0,0047;0,5036±0,0085;132,0867±1,3355;0,1274±0,0199;1,0000±0,0000;695,8663±20,1486;0,1816±0,0029;0,2295±0,0091;NaN±NaN;0,2515±0,0095;NaN±NaN;0,8155±0,0029;0,5839±0,0101;121,9433±2,0490;
0,1385±0,0030;0,0000±0,0000;0,6319±0,0182;0,1946±0,0126;0,2916±0,0134;0,1744±0,0095;0,9799±0,0020;0,6234±0,0148;0,1892±0,0116;0,2900±0,0131;0,9798±0,0021;0,1204±0,0116;0,0970±0,0119;0,0967±0,0122;0,9566±0,0036;0,5067±0,0097;130,6791±1,8899;0,1195±0,0209;1,0000±0,0000;686,3890±18,4804;0,1791±0,0027;0,2306±0,0078;NaN±NaN;0,2527±0,0072;NaN±NaN;0,8180±0,0029;0,5828±0,0074;124,4380±2,1588;
