Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,1208±0,0162;0,2574±0,0296;0,4215±0,0270;0,4441±0,0358;0,4065±0,0334;0,3654±0,0327;0,9031±0,0168;0,2128±0,0328;0,4554±0,0488;0,2888±0,0362;0,9032±0,0167;0,1807±0,0541;0,3828±0,0646;0,2260±0,0554;0,9023±0,0165;0,4664±0,0463;4,6310±0,5068;0,7690±0,0210;0,4543±0,0400;5,3023±0,7003;0,1737±0,0297;0,1957±0,0345;NaN±NaN;0,2147±0,0356;NaN±NaN;0,6734±0,0338;0,6532±0,0139;27,9769±6,6094;
0,0486±0,0035;0,4620±0,0327;0,6105±0,0403;0,5501±0,0333;0,5643±0,0354;0,5371±0,0350;0,9890±0,0040;0,6080±0,0785;0,2803±0,0242;0,3812±0,0243;0,9893±0,0039;0,2384±0,0377;0,1707±0,0430;0,1896±0,0432;0,9887±0,0041;0,4683±0,0405;4,4217±0,5505;0,7457±0,0279;0,4496±0,0329;5,1023±0,7465;0,1703±0,0322;0,1894±0,0185;NaN±NaN;0,2058±0,0192;NaN±NaN;0,7031±0,0345;0,5740±0,0062;5,7307±0,7691;
0,0492±0,0026;0,4822±0,0288;0,6175±0,0369;0,5597±0,0326;0,5752±0,0338;0,5502±0,0315;0,9898±0,0026;0,5980±0,0650;0,2507±0,0095;0,3525±0,0173;0,9903±0,0026;0,2587±0,0326;0,1588±0,0315;0,1789±0,0247;0,9897±0,0027;0,4571±0,0497;4,4217±0,6297;0,7628±0,0262;0,4698±0,0443;5,0279±0,8045;0,1684±0,0356;0,1885±0,0129;NaN±NaN;0,2005±0,0136;NaN±NaN;0,7091±0,0263;0,5708±0,0103;5,0340±0,4615;
