Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,0328±0,0021;0,0560±0,0088;0,2921±0,0098;0,4334±0,0130;0,2940±0,0072;0,2191±0,0067;0,9756±0,0023;0,2106±0,0140;0,4219±0,0071;0,2805±0,0115;0,9756±0,0023;0,2014±0,0134;0,3621±0,0129;0,2420±0,0062;0,9755±0,0023;0,4676±0,0134;29,8195±0,8015;0,5214±0,0196;0,8312±0,0199;38,8734±0,8512;0,1016±0,0033;0,3012±0,0053;0,2263±0,0041;0,3217±0,0045;0,2505±0,0045;0,8949±0,0024;0,8739±0,0047;127,3721±0,1575;
0,0313±0,0021;0,0690±0,0101;0,3047±0,0125;0,3881±0,0074;0,2868±0,0083;0,2198±0,0080;0,9778±0,0022;0,2072±0,0179;0,3745±0,0060;0,2664±0,0156;0,9778±0,0022;0,1866±0,0156;0,3131±0,0159;0,2214±0,0131;0,9778±0,0022;0,4798±0,0110;30,6230±0,6428;0,4986±0,0178;0,8151±0,0141;39,7363±0,7276;0,1041±0,0029;0,2980±0,0049;0,2226±0,0062;0,3186±0,0051;0,2462±0,0085;0,8923±0,0024;0,8703±0,0042;128,1403±0,1358;
0,0257±0,0034;0,0818±0,0105;0,3292±0,0178;0,3145±0,0206;0,2717±0,0152;0,2150±0,0129;0,9847±0,0038;0,2357±0,0353;0,2973±0,0144;0,2607±0,0205;0,9847±0,0038;0,1864±0,0188;0,2288±0,0161;0,1959±0,0082;0,9846±0,0038;0,4918±0,0101;29,4496±0,9255;0,4806±0,0176;0,8091±0,0110;38,0905±0,6290;0,1002±0,0029;0,3052±0,0073;0,2295±0,0096;0,3262±0,0079;0,2539±0,0111;0,8965±0,0022;0,8740±0,0044;128,9439±0,1210;
