Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,2951±0,0127;0,1198±0,0279;0,5075±0,0192;0,5365±0,0666;0,4864±0,0359;0,3909±0,0309;0,7816±0,0238;0,5256±0,0247;0,5515±0,0556;0,5366±0,0308;0,7749±0,0236;0,5199±0,0352;0,5373±0,0541;0,5176±0,0330;0,7671±0,0267;0,6448±0,0091;2,8764±0,1784;0,4654±0,0264;0,7486±0,0423;2,4987±0,1586;0,3521±0,0228;0,4822±0,0185;0,4669±0,0217;0,5261±0,0145;0,5133±0,0164;0,6509±0,0183;0,6395±0,0207;21,7925±1,4004;
0,2507±0,0245;0,1771±0,0472;0,5524±0,0483;0,5181±0,0646;0,5024±0,0539;0,4190±0,0523;0,8561±0,0246;0,6133±0,0466;0,5265±0,0706;0,5648±0,0546;0,8496±0,0257;0,5823±0,0417;0,5114±0,0658;0,5326±0,0524;0,8420±0,0248;0,7002±0,0246;2,3743±0,1143;0,4267±0,0443;0,6441±0,0598;1,9039±0,1492;0,2711±0,0178;0,5277±0,0407;0,5105±0,0365;0,5747±0,0346;0,5584±0,0307;0,7310±0,0214;0,6978±0,0171;5,4969±0,9084;
0,2406±0,0250;0,2141±0,0441;0,5905±0,0407;0,5878±0,0308;0,5570±0,0321;0,4686±0,0354;0,8435±0,0228;0,6209±0,0443;0,5877±0,0410;0,6034±0,0392;0,8371±0,0233;0,5990±0,0413;0,5635±0,0395;0,5650±0,0412;0,8280±0,0215;0,7303±0,0210;2,1686±0,0764;0,3795±0,0535;0,6156±0,0428;1,6410±0,1342;0,2333±0,0133;0,5594±0,0265;0,5420±0,0235;0,5970±0,0217;0,5813±0,0188;0,7697±0,0225;0,7248±0,0151;3,3596±0,2532;
