Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,2612±0,0346;0,1088±0,0692;0,7088±0,0410;0,7728±0,0407;0,7183±0,0407;0,5945±0,0562;0,6958±0,0475;0,7121±0,0498;0,7706±0,0396;0,7398±0,0422;0,7079±0,0410;0,5924±0,0502;0,6359±0,0515;0,6013±0,0552;0,5657±0,0381;0,8420±0,0349;3,6233±0,1620;0,1699±0,0523;0,7005±0,1235;2,0389±0,4051;0,1831±0,0321;0,6456±0,0611;0,6013±0,0639;0,6785±0,0572;0,6379±0,0629;0,7896±0,0251;0,6408±0,0347;8,0969±1,0550;
0,2561±0,0250;0,1088±0,0764;0,7005±0,0433;0,8120±0,0454;0,7357±0,0397;0,6130±0,0543;0,6476±0,0417;0,7037±0,0392;0,8094±0,0441;0,7524±0,0367;0,6802±0,0381;0,5911±0,0535;0,6795±0,0627;0,6259±0,0574;0,5452±0,0327;0,8219±0,0435;3,6796±0,1291;0,2109±0,0628;0,7362±0,1568;2,2287±0,4899;0,1991±0,0374;0,6198±0,0701;0,5684±0,0767;0,6574±0,0649;0,6084±0,0754;0,7799±0,0271;0,6406±0,0480;8,3419±1,1381;
0,2487±0,0254;0,1394±0,0484;0,7139±0,0499;0,8146±0,0184;0,7457±0,0322;0,6272±0,0441;0,6734±0,0388;0,7132±0,0443;0,8125±0,0181;0,7592±0,0314;0,6943±0,0320;0,6031±0,0594;0,6777±0,0307;0,6273±0,0437;0,5423±0,0154;0,8294±0,0294;3,6027±0,1180;0,2162±0,0567;0,6799±0,1126;2,0854±0,3832;0,1855±0,0281;0,6461±0,0720;0,6049±0,0945;0,6837±0,0649;0,6428±0,0888;0,7901±0,0178;0,6502±0,0376;8,4960±1,1304;
