Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,0295±0,0001;0,0933±0,0021;0,7443±0,0050;0,4897±0,0026;0,5493±0,0020;0,4338±0,0020;0,9939±0,0001;0,7703±0,0039;0,4537±0,0025;0,5711±0,0021;0,9939±0,0001;0,3325±0,0144;0,0661±0,0031;0,0879±0,0048;0,9865±0,0002;0,7454±0,0028;13,4668±0,0702;0,1569±0,0041;0,7781±0,0052;17,0630±0,1175;0,0350±0,0002;0,2836±0,0063;0,1965±0,0112;0,3083±0,0073;0,2274±0,0134;0,9549±0,0002;0,8438±0,0028;79,8099±0,0715;
0,0298±0,0002;0,0909±0,0016;0,7417±0,0039;0,4843±0,0037;0,5450±0,0038;0,4291±0,0036;0,9939±0,0001;0,7677±0,0035;0,4462±0,0033;0,5644±0,0033;0,9939±0,0001;0,2770±0,0177;0,0596±0,0011;0,0769±0,0015;0,9863±0,0001;0,7374±0,0022;13,9725±0,0743;0,1609±0,0042;0,7874±0,0042;17,9373±0,0974;0,0368±0,0002;0,2390±0,0025;0,1475±0,0076;0,2637±0,0036;0,1736±0,0098;0,9526±0,0002;0,8354±0,0029;81,9156±0,0825;
0,0301±0,0001;0,0882±0,0028;0,7387±0,0039;0,4755±0,0028;0,5380±0,0033;0,4224±0,0028;0,9941±0,0001;0,7678±0,0030;0,4373±0,0030;0,5572±0,0029;0,9940±0,0001;0,2441±0,0212;0,0552±0,0011;0,0699±0,0019;0,9863±0,0001;0,7319±0,0017;14,3606±0,0719;0,1641±0,0034;0,7911±0,0022;18,6238±0,0865;0,0383±0,0002;0,2149±0,0017;0,1216±0,0055;0,2411±0,0020;0,1459±0,0070;0,9509±0,0002;0,8271±0,0025;82,5764±0,0840;
