Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,0931±0,0073;0,0828±0,0101;0,4520±0,0119;0,4998±0,0131;0,4379±0,0104;0,3312±0,0083;0,9355±0,0074;0,3399±0,0323;0,4799±0,0174;0,3974±0,0261;0,9359±0,0073;0,1433±0,0282;0,2044±0,0290;0,1583±0,0267;0,9284±0,0074;0,4520±0,0182;29,5750±1,5516;0,5876±0,0219;0,8849±0,0227;46,8588±2,9179;0,2688±0,0135;0,1355±0,0112;NaN±NaN;0,1501±0,0113;NaN±NaN;0,7118±0,0159;0,5948±0,0152;52,6122±5,4008;
0,0890±0,0088;0,0928±0,0162;0,4791±0,0178;0,4883±0,0184;0,4476±0,0153;0,3424±0,0155;0,9409±0,0097;0,3549±0,0408;0,4653±0,0185;0,4012±0,0259;0,9414±0,0097;0,1431±0,0108;0,1986±0,0164;0,1550±0,0080;0,9335±0,0099;0,4727±0,0254;29,1508±1,0097;0,5611±0,0433;0,8708±0,0227;44,6305±3,3540;0,2571±0,0161;0,1381±0,0115;NaN±NaN;0,1524±0,0111;NaN±NaN;0,7264±0,0169;0,5943±0,0083;42,2478±5,7136;
0,0766±0,0109;0,1016±0,0172;0,5254±0,0264;0,4972±0,0197;0,4751±0,0190;0,3671±0,0186;0,9537±0,0115;0,4207±0,0615;0,4728±0,0164;0,4430±0,0380;0,9541±0,0114;0,1545±0,0167;0,1948±0,0238;0,1591±0,0111;0,9459±0,0116;0,5122±0,0218;26,3751±0,9394;0,4900±0,0439;0,8637±0,0172;39,0232±2,6103;0,2185±0,0128;0,1490±0,0071;NaN±NaN;0,1647±0,0073;NaN±NaN;0,7608±0,0136;0,5976±0,0070;31,7828±6,2003;
