Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,0528±0,0012;0,1040±0,0212;0,6049±0,0159;0,4943±0,0151;0,5152±0,0139;0,4049±0,0149;0,9794±0,0011;0,6110±0,0071;0,4735±0,0144;0,5333±0,0080;0,9795±0,0011;0,2689±0,0159;0,2205±0,0171;0,2327±0,0158;0,9714±0,0015;0,5861±0,0101;24,0155±0,6143;0,3848±0,0115;0,8408±0,0104;31,9330±0,8675;0,1833±0,0052;0,1714±0,0089;NaN±NaN;0,1862±0,0091;NaN±NaN;0,8039±0,0043;0,5770±0,0068;22,5383±0,8422;
0,0523±0,0019;0,1028±0,0253;0,6164±0,0115;0,4908±0,0214;0,5174±0,0165;0,4055±0,0178;0,9801±0,0017;0,6183±0,0186;0,4711±0,0160;0,5345±0,0117;0,9802±0,0017;0,2708±0,0135;0,2130±0,0275;0,2279±0,0235;0,9721±0,0019;0,5963±0,0136;22,2377±1,0563;0,3784±0,0235;0,8390±0,0140;29,0651±1,5580;0,1637±0,0097;0,1779±0,0098;NaN±NaN;0,1930±0,0094;NaN±NaN;0,8220±0,0096;0,5800±0,0066;19,3387±1,2973;
0,0517±0,0012;0,1017±0,0280;0,6161±0,0174;0,4822±0,0284;0,5112±0,0205;0,4016±0,0196;0,9812±0,0019;0,6285±0,0163;0,4652±0,0202;0,5341±0,0107;0,9812±0,0019;0,2695±0,0126;0,2081±0,0227;0,2232±0,0191;0,9732±0,0021;0,6135±0,0143;19,5044±0,5259;0,3708±0,0219;0,8314±0,0212;25,0877±1,1199;0,1401±0,0047;0,1779±0,0124;NaN±NaN;0,1921±0,0122;NaN±NaN;0,8460±0,0090;0,5821±0,0067;16,0378±0,4736;

