Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,0022±0,0009;0,9532±0,0099;0,9844±0,0128;0,9772±0,0049;0,9785±0,0078;0,9725±0,0070;0,9992±0,0006;0,9846±0,0111;0,9688±0,0076;0,9766±0,0084;0,9992±0,0006;0,9137±0,0381;0,9093±0,0439;0,9077±0,0395;0,9992±0,0006;0,9850±0,0074;0,8146±0,3798;0,0030±0,0061;0,0332±0,0168;0,5882±0,3479;0,0118±0,0064;0,9055±0,0522;NaN±NaN;0,9054±0,0524;NaN±NaN;0,9792±0,0111;0,8661±0,0143;20,3223±0,3548;
0,0022±0,0009;0,9532±0,0099;0,9844±0,0128;0,9772±0,0049;0,9785±0,0078;0,9725±0,0070;0,9992±0,0006;0,9846±0,0111;0,9688±0,0076;0,9766±0,0084;0,9992±0,0006;0,9137±0,0381;0,9093±0,0439;0,9077±0,0395;0,9992±0,0006;0,9851±0,0073;0,8131±0,3856;0,0030±0,0061;0,0332±0,0168;0,5867±0,3520;0,0117±0,0065;0,9056±0,0521;NaN±NaN;0,9055±0,0523;NaN±NaN;0,9794±0,0110;0,8662±0,0143;20,3384±0,3635;
0,0024±0,0009;0,9517±0,0101;0,9819±0,0121;0,9772±0,0049;0,9773±0,0073;0,9711±0,0069;0,9989±0,0007;0,9798±0,0136;0,9688±0,0076;0,9742±0,0091;0,9990±0,0007;0,9105±0,0382;0,9093±0,0439;0,9057±0,0399;0,9990±0,0007;0,9851±0,0073;0,8101±0,3808;0,0030±0,0061;0,0332±0,0168;0,5837±0,3477;0,0117±0,0064;0,9056±0,0521;NaN±NaN;0,9055±0,0523;NaN±NaN;0,9796±0,0107;0,8662±0,0143;20,2721±0,3496;
