Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,0312±0,0001;0,0707±0,0030;0,7236±0,0059;0,4567±0,0089;0,5186±0,0045;0,4022±0,0047;0,9938±0,0004;0,7527±0,0104;0,4180±0,0078;0,5374±0,0042;0,9938±0,0004;0,1732±0,0166;0,0445±0,0016;0,0532±0,0014;0,9856±0,0008;0,7157±0,0020;15,6303±0,1260;0,1750±0,0036;0,8147±0,0052;20,5949±0,1353;0,0425±0,0002;0,2003±0,0053;0,1161±0,0087;0,2270±0,0067;0,1409±0,0109;0,9460±0,0003;0,7938±0,0062;80,5364±0,1220;
0,0310±0,0001;0,0726±0,0030;0,7274±0,0047;0,4610±0,0074;0,5236±0,0040;0,4064±0,0038;0,9938±0,0004;0,7529±0,0089;0,4232±0,0067;0,5418±0,0037;0,9937±0,0004;0,1847±0,0055;0,0462±0,0015;0,0555±0,0017;0,9854±0,0008;0,7159±0,0014;15,4561±0,0870;0,1735±0,0054;0,8111±0,0041;20,4423±0,0988;0,0422±0,0002;0,1830±0,0008;0,0941±0,0077;0,2077±0,0023;0,1146±0,0099;0,9464±0,0001;0,7987±0,0047;82,2979±0,1740;
0,0312±0,0001;0,0716±0,0011;0,7273±0,0059;0,4605±0,0078;0,5231±0,0035;0,4055±0,0029;0,9936±0,0004;0,7492±0,0097;0,4226±0,0073;0,5403±0,0038;0,9936±0,0004;0,1461±0,0093;0,0447±0,0017;0,0526±0,0018;0,9850±0,0007;0,7135±0,0012;15,6299±0,0748;0,1751±0,0049;0,8123±0,0010;20,7071±0,0952;0,0428±0,0002;0,1729±0,0009;0,0837±0,0067;0,1980±0,0025;0,1028±0,0091;0,9457±0,0001;0,7954±0,0041;82,8648±0,1340;
