Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,0158±0,0050;0,4435±0,2021;0,5762±0,1995;0,5459±0,2384;0,5482±0,2177;0,5217±0,2140;0,9969±0,0014;0,8354±0,0334;0,5329±0,2340;0,6202±0,1737;0,9969±0,0014;0,5144±0,1565;0,5018±0,1484;0,5027±0,1496;0,9966±0,0015;0,6481±0,2046;3,9879±1,9282;0,3806±0,2064;0,4942±0,2369;4,0637±2,1510;0,0713±0,0410;0,5893±0,0433;NaN±NaN;0,5964±0,0418;NaN±NaN;0,9241±0,0410;0,7597±0,0205;24,2453±12,9232;
0,0161±0,0047;0,4302±0,1948;0,5677±0,1960;0,5377±0,2340;0,5393±0,2135;0,5118±0,2090;0,9968±0,0016;0,8303±0,0345;0,5255±0,2283;0,6134±0,1689;0,9968±0,0016;0,5153±0,1561;0,5042±0,1476;0,5040±0,1490;0,9964±0,0016;0,6476±0,2044;3,9623±1,9169;0,3826±0,2052;0,4952±0,2374;4,0350±2,1438;0,0710±0,0409;0,5797±0,0475;NaN±NaN;0,5881±0,0454;NaN±NaN;0,9245±0,0408;0,7590±0,0206;24,3586±12,9369;
0,0160±0,0047;0,4404±0,2017;0,5753±0,1991;0,5426±0,2353;0,5459±0,2160;0,5191±0,2124;0,9969±0,0016;0,8351±0,0333;0,5280±0,2283;0,6162±0,1682;0,9969±0,0016;0,5105±0,1507;0,4997±0,1433;0,4994±0,1440;0,9965±0,0017;0,6445±0,2022;4,0012±1,9341;0,3857±0,2028;0,5013±0,2330;4,0863±2,1618;0,0714±0,0413;0,5842±0,0453;NaN±NaN;0,5920±0,0435;NaN±NaN;0,9237±0,0408;0,7605±0,0248;24,3817±12,9260;
