Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,0460±0,0049;0,4822±0,0396;0,6435±0,0652;0,5861±0,0583;0,6012±0,0599;0,5711±0,0545;0,9890±0,0022;0,6314±0,0583;0,3262±0,0664;0,4282±0,0697;0,9894±0,0021;0,2402±0,0632;0,2012±0,0792;0,2113±0,0752;0,9889±0,0023;0,5057±0,0455;4,2186±0,4879;0,7302±0,0345;0,4496±0,0354;4,5519±0,6745;0,1546±0,0254;0,2125±0,0429;NaN±NaN;0,2264±0,0418;NaN±NaN;0,7344±0,0361;0,5921±0,0187;7,0046±1,0604;
0,0464±0,0038;0,5023±0,0237;0,6567±0,0343;0,6266±0,0433;0,6281±0,0358;0,5959±0,0323;0,9840±0,0044;0,6048±0,0517;0,3997±0,0493;0,4778±0,0317;0,9848±0,0043;0,3990±0,0664;0,3182±0,0804;0,3259±0,0644;0,9844±0,0043;0,5589±0,0248;3,6977±0,5420;0,7054±0,0163;0,4062±0,0293;4,0140±0,6657;0,1324±0,0247;0,3406±0,0421;NaN±NaN;0,3555±0,0458;NaN±NaN;0,7898±0,0346;0,6982±0,0297;5,6203±1,0256;
0,0455±0,0026;0,5085±0,0345;0,6649±0,0316;0,6236±0,0351;0,6301±0,0343;0,5981±0,0351;0,9878±0,0009;0,6328±0,0238;0,3506±0,0190;0,4511±0,0208;0,9885±0,0009;0,3764±0,0393;0,2762±0,0662;0,2924±0,0462;0,9881±0,0010;0,5312±0,0470;3,7891±0,3987;0,7194±0,0334;0,4186±0,0498;4,1318±0,5117;0,1372±0,0201;0,2917±0,0228;NaN±NaN;0,3087±0,0250;NaN±NaN;0,7842±0,0277;0,6677±0,0140;4,6423±0,6476;
