Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,2810±0,0343;0,1034±0,0439;0,7029±0,0623;0,7147±0,0433;0,6906±0,0367;0,5672±0,0413;0,7102±0,0531;0,7103±0,0595;0,7113±0,0373;0,7097±0,0396;0,7253±0,0634;0,6176±0,0464;0,5935±0,0525;0,5786±0,0548;0,6025±0,0668;0,7734±0,0498;4,0455±0,2965;0,3084±0,0904;0,7672±0,0909;2,9598±0,5541;0,2653±0,0444;0,6270±0,0546;0,5882±0,0647;0,6703±0,0487;0,6343±0,0607;0,7332±0,0429;0,6029±0,0435;10,9131±2,3445;
0,2877±0,0302;0,1294±0,0648;0,6842±0,0476;0,7236±0,0471;0,6876±0,0374;0,5663±0,0473;0,6812±0,0347;0,6940±0,0494;0,7259±0,0364;0,7089±0,0373;0,6998±0,0412;0,5906±0,0451;0,6141±0,0419;0,5939±0,0443;0,5709±0,0343;0,7661±0,0341;4,0838±0,2954;0,3136±0,0802;0,7727±0,0768;3,0702±0,4009;0,2754±0,0274;0,6223±0,0406;0,5804±0,0545;0,6634±0,0364;0,6244±0,0545;0,7302±0,0322;0,6063±0,0083;10,7655±1,8381;
0,2657±0,0298;0,1445±0,0582;0,7069±0,0364;0,7337±0,0451;0,7067±0,0357;0,5909±0,0456;0,7072±0,0372;0,7169±0,0413;0,7432±0,0376;0,7295±0,0368;0,7243±0,0378;0,6122±0,0544;0,6376±0,0485;0,6129±0,0549;0,5930±0,0299;0,7933±0,0267;3,8514±0,2702;0,2888±0,0478;0,7317±0,0671;2,6035±0,4246;0,2344±0,0307;0,6445±0,0296;0,6042±0,0405;0,6870±0,0317;0,6493±0,0462;0,7649±0,0246;0,6300±0,0057;6,7212±1,0053;
