Hamming Loss;Subset Accuracy;Example-Based Precision;Example-Based Recall;Example-Based F Measure;Example-Based Accuracy;Example-Based Specificity;Micro-averaged Precision;Micro-averaged Recall;Micro-averaged F-Measure;Micro-averaged Specificity;Macro-averaged Precision;Macro-averaged Recall;Macro-averaged F-Measure;Macro-averaged Specificity;Average Precision;Coverage;OneError;IsError;ErrorSetSize;Ranking Loss;Mean Average Precision;Geometric Mean Average Precision;Mean Average Interpolated Precision;Geometric Mean Average Interpolated Precision;Micro-averaged AUC;Macro-averaged AUC;Logarithmic Loss;
0,0838±0,0026;0,0210±0,0045;0,1705±0,0061;0,5037±0,0124;0,2048±0,0065;0,1373±0,0047;0,9226±0,0027;0,0898±0,0044;0,4973±0,0093;0,1521±0,0066;0,9226±0,0027;0,1080±0,0060;0,4527±0,0083;0,1613±0,0071;0,9225±0,0027;0,3636±0,0050;44,9547±1,4528;0,6416±0,0124;0,8807±0,0097;61,9490±2,1877;0,1645±0,0064;0,2331±0,0056;0,1653±0,0055;0,2541±0,0054;0,1869±0,0057;0,8340±0,0056;0,8115±0,0069;122,7745±0,2291;
0,0780±0,0019;0,0261±0,0035;0,1883±0,0049;0,4759±0,0151;0,2163±0,0069;0,1487±0,0038;0,9288±0,0019;0,0925±0,0044;0,4723±0,0081;0,1547±0,0066;0,9289±0,0019;0,1018±0,0046;0,4271±0,0054;0,1535±0,0054;0,9288±0,0019;0,3781±0,0100;45,4174±1,9403;0,6099±0,0101;0,8713±0,0112;62,6930±2,4269;0,1660±0,0085;0,2342±0,0074;0,1645±0,0082;0,2547±0,0080;0,1856±0,0089;0,8316±0,0063;0,8055±0,0066;123,7814±0,3240;
0,0739±0,0034;0,0325±0,0057;0,2072±0,0104;0,4553±0,0123;0,2244±0,0108;0,1582±0,0079;0,9333±0,0034;0,0939±0,0061;0,4485±0,0079;0,1552±0,0087;0,9334±0,0034;0,0997±0,0050;0,4007±0,0066;0,1495±0,0059;0,9333±0,0034;0,3917±0,0113;44,1732±2,1246;0,5908±0,0111;0,8649±0,0142;60,9062±2,5647;0,1602±0,0077;0,2406±0,0065;0,1699±0,0084;0,2608±0,0079;0,1909±0,0100;0,8364±0,0061;0,8097±0,0061;124,6873±0,3620;
